ftid;name
537;Vegavdeling
23;Vegbom
583;Vegbredde
838;Vegbredde_Beregnet
241;Vegdekke
629;Vegdekke_Flatelapping
614;Vegdekke_Fresing
628;Vegdekke_Sporfylling
831;Vegdekkeklasse
577;Vegfunksjon
631;Vegkommentar
37;Vegkryss
757;Vegliste_Vedlegg
933;Vegmerkingsparsell_Test
786;Vegminne
922;VegmyndighetKanBliEndret
913;Vegnettsrestriksjon_Test
604;Vegnormalstrekning
836;Vegoppmerking_Forsterket
99;Vegoppmerking_Langsgående
519;Vegoppmerking_Tverrgående
532;Vegreferanse
895;VegROS
269;VegskulderVegkant
607;Vegsperring
541;Vegstandard
485;Vegstengning
915;Vegsystem
155;Vekt
278;Ventilasjonsanlegg
928;Vertikaldren
212;VifteVentilator
291;Viltfare
498;ViltskremmereVarslere
165;Vindmåler
810;Vinterdriftsklasse
106;Vinterdriftsstrategi
234;Voll
605;VærrelatertStrekning
153;Værstasjon
107;VærutsattVeg
